User_ID Friend_ID Mutual
2 5953 0.01
2 3189 0.07
2 2965 0.06
2 5955 0.0
2 856 0.03
2 5956 0.09
2 5957 0.05
2 5958 0.04
2 5959 0.03
2 5960 0.0
2 5961 0.0
2 3619 0.0
2 5962 0.06
2 5963 0.03
2 5964 0.02
2 5965 0.0
2 5966 0.07
2 5967 0.01
2 5968 0.01
2 5969 0.0
2 5970 0.0
2 5971 0.07
2 5972 0.05
2 5973 0.07
2 5974 0.07
2 5975 0.02
2 3457 0.0
2 796 0.08
2 5977 0.06
2 5978 0.01
2 5979 0.05
2 5980 0.03
2 5981 0.07
2 5982 0.07
2 5983 0.07
2 5984 0.0
2 5985 0.07
2 5986 0.02
2 5987 0.0
2 5988 0.0
2 5989 0.05
2 5990 0.0
2 5991 0.06
2 2925 0.0
2 1261 0.0
2 5993 0.04
2 5994 0.0
2 5995 0.07
2 5996 0.0
2 5997 0.01
2 5998 0.09
2 5999 0.0
2 6000 0.03
2 6001 0.02
2 6002 0.08
2 6003 0.03
2 6004 0.05
2 6005 0.0
2 6006 0.0
2 6007 0.0
2 6008 0.03
2 6009 0.06
2 6010 0.07
2 6011 0.01
2 6012 0.02
2 6013 0.08
2 6014 0.05
2 6015 0.08
2 6016 0.11
2 6017 0.0
2 2239 0.06
2 6018 0.07
2 3833 0.0
2 6019 0.07
2 6020 0.0
2 6021 0.07
2 6022 0.02
2 6023 0.09
2 6024 0.0
2 6025 0.0
2 6026 0.06
2 6027 0.0
2 4018 0.06
2 6028 0.0
2 6029 0.05
2 6030 0.08
2 6031 0.07
2 3194 0.07
2 6032 0.06
2 6033 0.06
2 4091 0.05
2 6034 0.04
2 6035 0.0
2 6036 0.0
2 6037 0.01
2 6038 0.05
2 6039 0.0
2 2164 0.03
2 6040 0.0
2 6041 0.05
2 6042 0.01
2 6043 0.02
2 6044 0.03
2 5615 0.0
2 6045 0.08
2 3978 0.0
2 6046 0.04
2 5243 0.0
2 4392 0.06
2 6048 0.07
2 6049 0.06
2 6050 0.0
2 6051 0.06
2 1568 0.07
2 6052 0.06
2 6053 0.0
2 6054 0.07
2 824 0.03
2 6055 0.06
2 6056 0.05
2 6057 0.0
2 6058 0.05
2 6059 0.04
2 6060 0.06
2 6061 0.06
2 6062 0.0
2 6063 0.06
2 6064 0.04
2 6065 0.04
2 6066 0.04
2 6067 0.0
2 6068 0.0
2 6069 0.01
2 6070 0.06
2 6071 0.0
2 6072 0.02
2 6073 0.03
2 6074 0.1
2 6075 0.08
2 6076 0.08
2 6077 0.04
2 6078 0.02
2 6079 0.05
2 6080 0.1
2 6081 0.04
2 6082 0.03
2 6083 0.09
2 6084 0.09
2 6085 0.04
2 6086 0.11
2 6087 0.07
2 6088 0.0
2 6089 0.06
2 6090 0.0
2 6091 0.01
2 6092 0.02
2 6093 0.07
2 5727 0.05
2 6094 0.06
2 6095 0.06
2 6096 0.04
2 6097 0.0
2 6098 0.0
2 6099 0.07
2 6100 0.07
2 6101 0.04
2 6102 0.05
2 3218 0.02
2 6103 0.04
2 6104 0.07
2 6105 0.03
2 6106 0.09
2 6107 0.04
2 6108 0.09
2 6109 0.05
2 4813 0.04
2 2784 0.04
2 6111 0.02
2 6112 0.0
2 6113 0.07
2 6114 0.01
2 6115 0.02
2 6116 0.04
2 1519 0.04
2 6117 0.02
2 6118 0.11
2 6119 0.06
2 6120 0.0
2 6121 0.08
2 6122 0.05
2 6123 0.03
2 6124 0.06
2 6125 0.11
2 6126 0.0
2 6127 0.09
2 6128 0.02
2 6129 0.03
2 6130 0.04
2 6131 0.08
2 6132 0.03
2 6133 0.05
2 6134 0.07
2 6135 0.02
2 6136 0.07
2 6137 0.07
2 6138 0.07
2 6139 0.1
2 4838 0.06
2 4654 0.07
2 6141 0.08
2 1677 0.08
2 6142 0.06
2 6143 0.07
2 6144 0.07
2 6145 0.09
2 6146 0.09
2 4128 0.04
2 6147 0.07
2 6148 0.06
2 6149 0.05
2 6150 0.11
2 1546 0.01
2 6151 0.05
2 6152 0.09
2 6153 0.06
2 6154 0.06
2 6155 0.06
2 1370 0.07
2 6156 0.04
2 6157 0.0
2 6158 0.0
2 5733 0.07
2 4112 0.01
2 6159 0.0
2 4657 0.08
2 2158 0.03
2 6161 0.03
2 6162 0.06
2 6163 0.03
2 3613 0.05
2 1302 0.12
2 6165 0.06
2 6166 0.08
2 5729 0.03
2 6167 0.06
2 6168 0.04
2 6169 0.02
2 6170 0.08
2 6171 0.05
2 6172 0.07
2 6173 0.03
2 6174 0.05
2 6175 0.1
2 6176 0.02
2 6177 0.08
2 6178 0.05
2 6179 0.06
2 6180 0.05
2 6181 0.02
2 6182 0.05
2 6183 0.07
2 6184 0.06
2 6185 0.04
2 6186 0.1
2 6187 0.07
2 6188 0.0
2 6189 0.0
2 6190 0.0
2 6191 0.02
2 6192 0.0
2 6193 0.1
2 637 0.07
2 6194 0.07
2 1282 0.03
2 1273 0.04
2 6196 0.02
2 6197 0.07
2 6198 0.08
2 6199 0.02
2 6200 0.0
2 6201 0.07
2 6202 0.09
2 6203 0.07
2 6204 0.09
2 6205 0.06
2 6206 0.06
2 6207 0.06
2 6208 0.06
2 6209 0.07
2 6210 0.03
2 6211 0.04
2 6212 0.05
2 6213 0.05
2 6214 0.11
2 6215 0.06
2 6216 0.1
2 4810 0.08
2 3300 0.06
2 6218 0.09
2 6219 0.08
2 6220 0.04
2 6221 0.06
2 6222 0.08
2 6223 0.09
2 6224 0.02
2 6225 0.02
2 6226 0.01
2 6227 0.04
2 6228 0.06
2 6229 0.08
2 6230 0.04
2 6231 0.09
2 6232 0.05
2 6233 0.09
2 6234 0.09
2 6235 0.06
2 6236 0.03
3 6216 0.0
3 4039 0.0
4 5758 0.0
4 6196 0.0
4 2878 0.0
4 6238 0.0
5 5727 0.13
5 7 0.07
5 6239 0.02
5 242 0.0
5 6240 0.0
5 6241 0.05
6 5729 0.1
6 5727 0.01
6 6242 0.02
6 7 0.0
7 6 0.13
7 5758 0.1
7 6196 0.1
7 6243 0.12
7 5765 0.1
7 5805 0.16
7 5729 0.14
7 6244 0.07
7 6099 0.14
7 6079 0.04
7 6245 0.15
7 6246 0.06
7 6172 0.1
7 6247 0.0
7 3833 0.14
7 6248 0.05
7 36 0.19
7 5733 0.1
7 6249 0.15
7 76 0.07
7 6250 0.12
7 6209 0.07
7 3695 0.15
7 6104 0.1
7 6119 0.09
7 6251 0.09
7 44 0.08
7 1857 0.05
7 5950 0.08
7 538 0.19
7 6253 0.07
7 748 0.04
7 532 0.07
7 6126 0.09
7 6255 0.06
7 6003 0.02
7 5886 0.04
7 6256 0.02
7 2895 0.04
7 42 0.06
7 2111 0.08
7 6258 0.0
7 4039 0.06
7 6175 0.08
7 5738 0.04
7 4288 0.02
7 6259 0.06
7 6260 0.09
7 6261 0.08
7 29 0.08
7 5745 0.06
7 6262 0.1
7 6263 0.07
7 13 0.02
7 5739 0.11
7 6133 0.02
7 5691 0.09
7 6265 0.02
7 6266 0.06
7 6241 0.05
7 6267 0.03
7 5 0.09
7 3656 0.02
7 6269 0.06
7 1273 0.04
7 350 0.09
7 6085 0.08
7 3180 0.08
7 3613 0.07
7 6029 0.06
7 6057 0.08
7 6271 0.0
7 4096 0.03
7 6234 0.03
7 67 0.04
7 5892 0.08
7 6096 0.0
7 1324 0.04
7 4128 0.04
7 5943 0.15
7 5727 0.03
7 5810 0.04
7 6272 0.14
7 5800 0.03
7 60 0.08
7 6073 0.09
7 389 0.05
7 6273 0.1
7 242 0.05
7 5754 0.0
7 12 0.1
7 56 0.09
8 6275 0.0
8 6276 0.0
9 6096 0.0
9 6277 0.0
10 6163 0.0
11 6278 0.0
12 154 0.1
12 6279 0.25
12 5729 0.02
12 6243 0.02
12 7 0.02
12 5727 0.02
12 6280 0.0
12 5728 0.0
12 6281 0.0
13 6040 0.12
13 6282 0.3
13 5729 0.12
13 1439 0.11
13 5732 0.08
13 1236 0.11
13 6284 0.09
13 62 0.05
13 6285 0.11
13 6286 0.05
13 6196 0.13
13 2491 0.13
13 6287 0.13
13 4838 0.04
13 5793 0.09
13 5754 0.09
13 56 0.07
13 7 0.06
13 6288 0.08
13 1572 0.08
13 6289 0.08
13 6290 0.05
13 242 0.08
13 6291 0.06
13 5727 0.04
13 6292 0.03
13 6293 0.07
13 2164 0.04
13 1282 0.11
13 6294 0.02
13 4039 0.04
13 6295 0.04
13 6211 0.12
13 4020 0.15
13 1419 0.05
13 6296 0.04
13 4081 0.0
13 29 0.0
13 4018 0.05
13 2033 0.04
13 6298 0.04
13 3946 0.11
13 1158 0.07
13 6300 0.0
13 6301 0.06
14 1677 0.03
14 5728 0.02
14 6302 0.01
14 6303 0.03
14 4128 0.0
14 6304 0.04
14 6305 0.0
14 6306 0.01
14 5739 0.11
14 5938 0.0
14 6087 0.09
14 6096 0.0
15 18 0.06
15 5727 0.08
15 6307 0.03
15 6308 0.0
15 164 0.0
16 5729 0.0
16 5727 0.0
17 5727 0.0
17 6309 0.0
17 1439 0.0
18 62 0.06
18 6310 0.13
18 15 0.0
18 6298 0.1
18 6129 0.06
18 5779 0.12
18 6238 0.16
18 56 0.13
18 6070 0.09
18 6079 0.0
18 1443 0.07
18 1031 0.07
18 5804 0.11
18 6312 0.08
18 5799 0.06
18 2163 0.08
18 6313 0.04
18 39 0.02
18 5758 0.03
18 5766 0.02
18 6314 0.03
18 5363 0.02
18 5729 0.03
18 6315 0.02
18 6316 0.03
18 6317 0.03
18 1261 0.03
18 6318 0.01
18 2612 0.03
18 6319 0.0
18 67 0.02
18 6288 0.03
18 5728 0.03
18 6320 0.02
18 5800 0.02
18 6321 0.02
18 6322 0.0
18 5950 0.02
18 242 0.03
18 2157 0.05
18 6290 0.02
18 5727 0.03
18 4018 0.0
18 6323 0.02
18 6324 0.03
18 6325 0.02
18 6326 0.0
18 5733 0.0
18 5745 0.0
18 5754 0.0
18 23 0.09
18 6327 0.0
18 1902 0.04
18 6328 0.02
